service_name,address,latitude,longitude,service_types,service_description,last_updated_at_UTC
Cleanaway Armidale Solid Waste Depot,"295 Mann Street, Armidale, NSW, 2350",-30.514288,151.641755,Solid waste services,"Cleanaway Armidale offers end to end solid waste management solutions for residents as well as commercial and industrial businesses. Proudly employing locals and supporting local business through our operations, we are an active part of the community and the preferred waste management contractor for Armidale Regional Councils.",11-Dec-2021 15:37:09
Cleanaway Allerton Street Albany Solid Waste Depot,"12 Allerton Street, Albany, WA, 6330",-35.019758,117.842441,Solid waste services,"Conveniently located at 12 Allerton Road, the Albany office of Cleanaway provides the full scope of solid waste services. We offer sustainable services for domestic and industrial clients, ensuring customers can choose an environmentally responsible solution for their requirements.",11-Dec-2021 15:37:09
Cleanaway Albany Transfer Station & MRF,"2-16 Cuming Road & 37 Maxwell Street, Albany, WA, 6330",-35.0108063,117.862467,"Solid waste services, Office",Solid Waste Services throughout Albany,11-Dec-2021 15:37:09
Cleanaway Albury-Wodonga Solid Waste Services,"26 Reiff St, Lavington, NSW, 2641",-36.037913,146.964581,Solid waste services,"Located in Albury Wodonga, our Lavington Solid Waste Services site is a Material Recovery Facility (MRF) and depot for our services into the southern New South Wales and northern Victoria region. Services include general waste collection, commingled recycling and liquid waste services. We work with councils and commercial industries to collect, recover material, recycling and responsible treatment of your waste, ensuring that optimal environmental outcomes are met.",11-Dec-2021 15:37:09
Cleanaway Ayr Solid Waste Depot,"Mackenzie Street, Ayr, QLD, 4807",-19.565093,147.388493,"Solid waste services, Office","Cleanaway Ayr offers municipal general waste and green waste collection, and recycling services for Burdekin Shire. We also collect solid waste for businesses. Contact us for more information about our products and services.",11-Dec-2021 15:37:09
Cleanaway Alexandra Solid Waste Services,"4-8 Station Street, Alexandra, VIC, 3714",-37.183192,145.712031,Solid waste services,"Cleanaway provides the best solid waste management services for the regional centre of Alexandra. Our team has many years of experience in the industry, giving us the expertise to ensure professionalism and quality with every project we undertake.",11-Dec-2021 15:37:09
Cleanaway Ashmore Solid Waste Services,"50-60 Harper St, Molendinar QLD 4214",-27.9849479,153.3610452,Solid waste services,"Cleanaway Ashmore provides commercial and industrial solid waste and recycling services in the Northern NSW and Stapylton areas. Our total waste management services include commercial front lift, rear lift, hook lift capabilities and general waste bulk bins.",11-Dec-2021 15:37:09
Cleanaway Daniels Wingfield Medical Waste Services,"44-46 Francis Rd, Wingfield, SA, 5017",-34.844581,138.548196,Cleanaway Daniels,"Cleanaway Daniels (formerly Daniels Health Australia) Wingfield specialises in the compliant collection, treatment and disposal of all medical and health related wastes. We are fully conversant with all regulatory requirements, including WA health operational directives.",11-Dec-2021 15:37:09
Cleanaway Alice Springs Solid Waste Depot,"6 Wilkinson Street, Ciccone, NT, 0870",-23.700021,133.871345,Solid waste services,"Right in the heart of the Australian outback, Cleanaway Alice Springs offers extensive waste management services for residents and businesses. Our solid waste depot has been active for the past 10 years. What sets us apart is our understanding of local needs. We are part of the community, which allows us to tailor our services to your needs. We focus on municipal kerbside bin collection, secured destruction services, and Roll-On/Roll-Off bins.",11-Dec-2021 15:37:09
Cleanaway Daniels Yatala Medical Waste Services,"Unit 4/63 Burnside Road, Yatala, QLD, 4207",-27.7510666,153.2447872,Cleanaway Daniels,"Cleanaway Daniels (formerly Daniels Health Australia) Yatala offers industry-leading medical waste solutions, collections and treatments across Queensland.",11-Dec-2021 15:37:09
Cleanaway Dardanup Solid Waste Services,"Lot 2, Banksia Road, Dardanup, WA, 6236",-33.4189890,115.7737470,Solid waste services,Dardanup’s Highest Quality Solid Waste Management Services,11-Dec-2021 15:37:09
Cleanaway Altona Solid Waste Services,"72/80 Harcourt Rd, Altona, VIC, 3018",-37.849852,144.781323,"Solid waste services, Office","Cleanaway Altona offers recycling services for businesses to recover paper, cardboard, plastic and fibre. Speak to us to find out how we can tailor a collection and recovery solution that meets your business needs.",11-Dec-2021 15:37:09
Cleanaway Hervey Bay Municipal,"18-20 Ellengowan Street, Urangan, Hervey Bay, QLD, 4655",-25.3163509,152.8901263,Solid waste services,Cleanaway Hervey Bay provides municipal services (curb side collection) for the Fraser Coast region under the Fraser Coast Regional Council contract. We send all waste for processing at the Hervey Bay MRF (Material Recycling Facility).,11-Dec-2021 15:37:17
Cleanaway Hervey Bay MRF,"48-50 Industrial Ave.Dundowran, Hervey Bay, QLD, 4655",-25.2971179,152.7921365,Solid waste services,Cleanaway Hervey Bay MRF receives and processes recyclable commingled material in the Fraser Coast region. We also provide commercial recycling services.,11-Dec-2021 15:37:17
Cleanaway Heatherton,"Henry Street, Heatherton, VIC, 3202",-37.9507030,145.0887149,Miscellaneous,"Conveniently located Henry Street, Cleanaway in Heatherton provides the full scope of solid waste services. Our sustainable services are ideal for domestic and industrial clients, making it simple to find an environmentally responsible solutions.",11-Dec-2021 15:37:17
Cleanaway Henderson Liquid Waste Services,"24 Stuart Drive, Henderson, WA, 6166",-32.1640281,115.7764708,Liquid waste services,"Toxfree Henderson is a waste water treatment facility that services commercial and industrial customers in the South West WA regions. We provide waste water treatment, disposal of oil water and industrial wash waters, WAQUIS equipment and vehicles cleaning. We also have a large warehouse on site used for internal company storage.",11-Dec-2021 15:37:17
Cleanaway Derwent Park Hobart Material Recovery Facility,"127 Derwent Park Road, Derwent Park TAS 7009",-42.8346028,147.3051933,Solid waste services,Cleanaway Derwent Park Material Recovery Facility (MRF) is the sole facility for recycling in Southern Tasmania. We receive recycling from council kerbside collections that are sorted into clean material streams and sent out of the state for recycling and reuse.,11-Dec-2021 15:37:16
Cleanaway Hemmant packaging waste recycling: cardboard paper plastics,"94 Anton Road, Hemmant, QLD, 4174",-27.4431980,153.1227750,Miscellaneous,"Cleanaway Hemmant offers packaging waste recycling services for the South East Queensland and Regional Commercial & Industrial Collections businesses. This includes processing & baling (package prepared for shipping, storage, or sale) of old corrugated cardboard, paper, magazine & plastics.",11-Dec-2021 15:37:17
Cleanaway Dawesville Solid Waste Services,"Tims Thicket Road, Dawesville, WA, 6211",-32.6513621,115.6293923,Solid waste services,"Cleanaway in Dawesville offers the highest standard of solid waste services. Local businesses across the region trust our team to provide professionalism and exceptional quality. Whether your needs are small, our team has the experience and expertise to help.",11-Dec-2021 15:37:16
Cleanaway Delacombe Solid Waste Depot,"20 Douglas Street, Delacombe, VIC, 3350",-37.5744039,143.8253208,"Solid waste services, Office","Locally based and operated, Cleanaway Delacombe has been a leader in waste management for over 10 years.",11-Dec-2021 15:37:16
Cleanaway Derby Solid Waste Services,"Lot 909 Millard Street, Derby, WA, 6728",-17.3179788,123.6485852,Solid waste services,"Cleanaway Derby is located along Millard street, just off New England highway. We’ve been serving the community for many years and we are proud to have many of Toowoomba’s own as part of our team. We understand your needs and can respond to enquiries in the most satisfactory way possible. Our depot offers municipal, commercial, industrial and residential waste management.",11-Dec-2021 15:37:16
Cleanaway Darra Industrial Waste Services,"20-28 Machinery Street, Darra, QLD, 4076",-27.5782644,152.9474962,Industrial waste services,Cleanaway Darra is an EPA-licensed facility located on Machinery Street. We provide the following Industrial Waste Services in all of Brisbane and surrounding areas:,11-Dec-2021 15:37:16
Cleanaway Heatherbrae Liquid Waste Services,"42 Heather Street, Heatherbrae, NSW, 2324",-32.7878096,151.7346782,Liquid waste services,"Cleanaway Heatherbrae offers technical and environmental services to universities, municipal councils, and the commercial and industrial sectors in Newcastle, Hunter and Northern NSW regions. We provide packaged and hazardous chemical waste services and spill equipment supplies.",11-Dec-2021 15:37:17
Cleanaway Doonan Solid Waste Services,"561 Eumundi Noosa Rd, Doonan, QLD, 45674566",-26.435816,153.024719,Solid waste services,"Cleanaway Doonan offers solid waste solutions for residents, local councils, and the commercial and industrial sectors in the Sunshine Coast. Our services include the collection and recycling of general waste, cardboard and plastic, as well as skip bins and RORO rentals.",11-Dec-2021 15:37:16
Cleanaway Karratha Solid Waste Depot,"Lot 609 Tom Price Road, Karratha, WA, 6714",-20.8071047,116.7711975,Solid waste services,"Cleanaway Karratha offers solid waste and recycling services to residents, municipal councils, businesses and industries in Karratha, Dampier, Wickham, Roebourne, Onslow, Whim Creek, Tom Price, Pannawonica, and Paraburdoo. Our services include general waste and commingled waste collection and treatment, high pressure water blasting and vac truck associated work. We also provide liquid waste solutions which includes hydrocarbons, waste oil, and septic tanks.",11-Dec-2021 15:37:25
Cleanaway Karratha Cooya Pooya,"Lot 609 Warlu Rd, Karratha, 6714",-20.9876717,116.8873078,Miscellaneous,,11-Dec-2021 15:37:25
Cleanaway Kalgoorlie/Boulder CSW,"Celebration Road, Boulder, WA, 6429",-31.0173528,121.4191769,Miscellaneous,,11-Dec-2021 15:37:25
Cleanaway Hume Solid Waste Services,"88 Sawmill Cct, Hume, ACT, 2620",-35.3965438,149.1574279,Solid waste services,Cleanaway Hume are a one stop shop for solid waste and recycling services in the ACT and its surrounding regions. We offer a large range of waste solutions and bin options depending on your needs – from simple waste-only solutions to packages with full recycling options.,11-Dec-2021 15:37:24
Cleanaway Kalgoorlie Parkeston,"Yarri Road, Parkeston, WA, 6434",-30.6871738,121.5301789,Office,,11-Dec-2021 15:37:24
Cleanaway Holtze Liquid and Industrial Services,"875 Stuart Highway, Holtze, NT, 831",-12.4525989,130.9615782,"Liquid waste services, Industrial waste services","Also known as Cleanaway Darwin, our site is an MRF that has been processing City of Darwin’s recyclables for over 20 years. We provide liquid and industrial waste solutions, and solid waste services for local councils, commercial customers and residents.",11-Dec-2021 15:37:24
Cleanaway Invermay Liquid Waste Services,"29 Churchill Park Dr, Invermay, TAS, 7248",-41.4175616,147.143212,Liquid waste services,"Cleanaway Invermay offers liquid and industrial waste solutions for the mining and automotive industry across Tasmania. Our services include the collection, processing and disposal of coolants, oily water, waste rags, oil filters and solvent sinks. We also have hot wash and gun wash machines.",11-Dec-2021 15:37:24
Cleanaway Innisfail Solid Waste Services,"70 Goondi Mill Road, Innisfail, QLD, 4860",-17.5120744,146.0044169,Solid waste services,"Cleanaway Innisfail offers solid waste collection and recycling services to commercial and industrial customers in the greater Innisfail area, including Tully and Cardwell. We also provide municipal collection to the Cassowary Coast regional council.",11-Dec-2021 15:37:24
Cleanaway Inkerman Solid Waste Services,"Landfill Waste Service Prime Road, Inkerman, SA, 5501",-34.2888951,138.245414,Solid waste services,"Cleanaway Inkerman is a state-of-the-art landfill site, operational since 2014. Also known as the Northward Fill, the site is approximately 85km from Adelaide. We also service the northern regional council and commercial customers. We accept a broad range of non-recyclable materials, including domestic waste, construction and demolition waste, non-friable asbestos, shredded tyres and quarantine waste. We have a dedicated low level cell receiving low level contaminated waste and liquid plant residues.",11-Dec-2021 15:37:24
Cleanaway Kalgoorlie Solid Waste Services,"5 Carnegie Street, Kalgoorlie, WA, 6430",-30.7858538,121.4393674,Solid waste services,"Cleanaway Kalgoorlie offers general waste and recycling collection services to residents and the commercial and industrial sectors in the City of Kalgoorlie, including Boulder, KCGM, and Goldfields.",11-Dec-2021 15:37:25
Cleanaway Katherine Solid Waste Services,"2 Murray Street, Katherine, NT, 0850",-14.4831336,132.2557259,Solid waste services,"Cleanaway Katherine offers solid waste solutions including secure product destruction, clinical waste disposal, septic and grease trap services. We service residential and commercial customers in the Katherine, Roper, Victoria Daly, and Gulf of Carpentaria regions.",11-Dec-2021 15:37:25
Cleanaway Karratha Industrial Waste Services,"Lot 126 Tom Price Rd, Karratha, WA, 6714",-20.7349076,116.8430295,Industrial waste services,Cleanaway Karratha provides industrial waste services for the local council and industrial sector across the region.,11-Dec-2021 15:37:25
Cleanaway Coopers Plains Solid Waste Services,"40 Lensworth St., Coopers Plains, QLD, 4108",-27.572632,153.034350,Solid waste services,"Cleanaway Coopers Plains is licensed and accredited by the EPA to offer commercial and industrial solid waste and recycling services. We focus on the recovery, recycling and proper disposal of waste to ensure that optimal environmental outcomes are met. Our office depot however is only available to the municipal council and Coopers Plains businesses, covering construction and demolition, events, and various other projects types.",11-Dec-2021 15:37:33
Cleanaway Coffs Harbour Solid Waste Services,"754 Pacific Hwy, Boambee, NSW, 2450",-30.344143,153.068912,Solid waste services,"Cleanaway Coffs Harbour is located just along the Pacific Highway. We offer environmentally responsible solutions for all your residential, commercial and industrial solid waste management needs.",11-Dec-2021 15:37:33
Cleanaway Kooragang TTS Liquid Waste Services,"47 Raven Street, Kooragang Island, NSW, 2304",-32.8801255,151.7654141,Liquid waste services,"Cleanaway Kooragang offers liquid and industrial waste services for residents, businesses and industries in NSW. We have a fleet of specialised trucks and tankers to service our industrial clients and from other Cleanaway sites across the region. Our site is also a Paintback drop off point.",11-Dec-2021 15:37:34
Cleanaway Coolaroo Material Recovery Facility,"94 Maffra Street, Coolaroo, Vic, 3048",-37.6580864,144.940077,Solid waste services,"Cleanaway Coolaroo Material Recovery Facility (MRF) is part of the Victoria Commingled Resource Recovery (VCRR) network of assets acquired from SKM Recycling in October 2019. We accept commercial and municipal recyclables, which are then processed, sorted, and baled into clean materials.",11-Dec-2021 15:37:33
Cleanaway Craiglie Solid Waste Services,"10 Teamsters Close, Craiglie, QLD, 4877",-16.538147,145.467558,Solid waste services,"Cleanaway Craiglie offers solid waste services to residents, and the commercial and industrial sectors in the greater Port Douglas region. We focus on the recovery, recycling and proper disposal of waste to ensure that optimal environmental outcomes are met. We also provide rear loader and skip bin rentals.",11-Dec-2021 15:37:33
Cleanaway Dandenong SEMTS – South East Melbourne Transfer Station,"72 Thomas Murrell Cres, Dandenong South, VIC, 3175",-38.021728,145.196926,"Solid waste services, Transfer Station","Cleanaway Dandenong South is a commercial drop off and disposal site, accepting waste from businesses and industrial facilities only.",11-Dec-2021 15:37:33
Cleanaway Katoomba Solid Waste Services,"41 Barton Street, Katoomba, NSW, 2780",-33.7013695,150.3145558,"Solid waste services, Office","Cleanaway Katoomba offers solid waste services, commercial and industrial waste collections to all commercial and industrial businesses within the Katoomba region. A self-contained site, Katoomba features its own onsite workshop, wash bay and storage facilities, enabling it to service surrounding customers 24 hours a day, seven days a week.",11-Dec-2021 15:37:33
"Cleanaway Dandenong Oil, Workshop Waste and Parts Washer Machine Services","19-21 Berends Drive, Dandenong South, VIC, 3175",-38.029185,145.196090,Liquid waste services,Cleanaway Dandenong South NWO offers the recovery of prescribed waste including both oil (hydrocarbon) and solvent (hydrocarbon) contaminated items and their disposal through environmentally responsible and regulated channels.,11-Dec-2021 15:37:33
Cleanaway Kooragang Industrial Waste Services,"19 Egret Street, Kooragang, NSW, 2304",-32.8816549,151.7640846,Industrial waste services,"Cleanaway Kooragang offers industrial waste services to the commercial and industrial sectors in regions north of Hawkesbury River up to the Queensland border. Our services include heavy vac units (wet and dry), industrial cleaning of mining equipment, confined space work, drain cleaning, high pressure water blasting, concrete demolition, descaling pipes, rubber stripping, and liquid waste collections which covers oily water, waste oils and coolants, effluent waste, and drilling muds.",11-Dec-2021 15:37:34
Cleanaway Crestmead Liquid Waste Services,"10 Platinum Street, Crestmead, QLD, 4132",-27.678755,153.076188,Liquid waste services,"Cleanaway Crestmead offers the sale and rental of a wide range of liquid waste management products. This includes automatic and solvent part washers, spill kit products, and water source protection services such as containment booms, drain covers and drain wardens.",11-Dec-2021 15:37:33
Cleanaway Dandenong Liquid Waste Services,"88-92 Ordish Road, Dandenong South, VIC, 3175",-38.025597,145.192449,Liquid waste services,"Cleanaway Dandenong South is a liquid waste management services branch that specialises in bulk and packaged waste, acid and caustic waste, grease trap waste, contaminated soils, inert waste and sludges. Our fleet of tankers, ranging from rigids to semis, are purpose built for collection and transport.",11-Dec-2021 15:37:33
Cleanaway Clayton South Resource Recovery Centre,"Deals Rd & Fraser Rd, Clayton South, VIC, 3169",-37.947061,145.120898,Solid waste services,UPDATE: Now open to the public. Opening times are subject to change in line with COVID restrictions.,11-Dec-2021 15:37:33
Cleanaway Kwinana Industrial Waste Services,"27 Beach Street, Kwinana Beach, WA, 6167",-32.2438117,115.7778093,"Industrial waste services, Office","Cleanaway Kwinana is located on Beach street, just off Mandurah road. We offer industrial waste services for WA Metro, South West WA, Great Southern and Goldfields. Our hydro excavation services on Kwinana soil is used to locate underground assets through a combination of high-pressure water and air vacuum. Cleanaway Kwinana’s drain cleaning services employs various techniques such as CCTV monitoring to ensure that we minimise environmental impact.",11-Dec-2021 15:37:41
Cleanaway Kununurra Solid Waste Services,"1 Kentia Way, Kununurra , WA, 6743",-15.7579483,128.7438338,Solid waste services,Cleanaway Kununurra depot offers council and commercial waste collection services including street sweeping and 6m3 skip bins and 2m3 front lift bin hires.,11-Dec-2021 15:37:41
Cleanaway Bundaberg Liquid Waste Services,"46 University Drive, Bundaberg, QLD, 4670",-24.898463,152.309210,Liquid waste services,"Cleanaway Bundaberg provides liquid waste services including grease traps, septic sewage, leachate, storm water, oily water, and waste oil collection. We service any business in the Fraser Coast and West regions that generates liquid waste.",11-Dec-2021 15:37:42
Cleanaway Koorlong,"428 Magnum Avenue, Koorlong (Mildura), VIC, 3500",-34.3392551,142.0981271,Office,,11-Dec-2021 15:37:41
Cleanaway Laverton MRF and Plastic Recovery Facility,"32 Gilberton Rd, Laverton, Vic, 3026",-37.8216503,144.7956174,Solid waste services,"Cleanaway Laverton Material Recovery Facility (MRF) and Plastic Recovery Facility is part of Cleanaway’s Victoria Commingled Resource Recovery (VCRR) network of assets acquired from SKM Recycling in October 2019. The facility receives, sorts and processes commercial and municipal recycling from areas around Laverton North to be given a new lease on life. Our facility also hosts an advanced plastic sorting facility that separates plastics into clean, individual polymer grade for sale or input into a pelletising facility.",11-Dec-2021 15:37:41
Cleanaway Kronkup,"Lower Denmark Road, Kronkup, WA, 6330",-35.0207326,117.6844069,Office,,11-Dec-2021 15:37:41
Cleanaway Burleigh Heads Industrial Waste Services,"11 Alex Fisher Drive, Burleigh Heads, QLD, 4220",-28.104135,153.408486,Industrial waste services,"Cleanaway Burleigh Heads offers industrial waste services for businesses in the Gold Coast and northern NSW. We’re located at the corner of Ern Harley Drive and Alex Fisher Drive. Please contact our direct line to set an appointment, or to find out more about our products and services.",11-Dec-2021 15:37:42
Cleanaway Cairns Greenbank Rd,"63 Greenbank Road, Stratford, QLD, 4870",-16.8695734,145.7404056,Office,,11-Dec-2021 15:37:42
Cleanaway Cairns – Woree Liquid Waste Services,"44-46 Links Dr, Woree, QLD, 4868",-16.957882560408414,145.75211301594956,Liquid waste services,"Cleanaway Cairns – Woree offers liquid and hazardous waste collection services for councils, businesses, and industries in the Far North Queensland region. We are licensed to only collect and store waste. No public delivery available.",11-Dec-2021 15:37:42
Cleanaway Burnie Waste Transfer Station & Recycling Centre,"289 Mooreville Road, Burnie, TAS, 7321",-41.082782,145.876714,Solid waste services,Cleanaway Burnie Waste is a transfer and resource recovery facility operating under contract to the Burnie City Council. We are open to the general public and businesses.,11-Dec-2021 15:37:42
Cleanaway Kwinana Technical and Environmental Services,"Lot 4 Mason Road, Kwinana Beach, WA, 6167",-32.2182654,115.7763014,Liquid waste services,"Cleanaway Kwinana specialises in the receiving, handling and treatment of controlled waste and dangerous goods to businesses in the following sectors: Industrial operations, Laboratories, Hospitals, Universities, Schools, Government operations, Printing and Painting.",11-Dec-2021 15:37:41
Cleanaway Campbellfield Contaminated Water and Workshop Waste Services,"126 Barry Road, Campbellfield, VIC, 3061",-37.667090,144.965268,Liquid waste services,"Cleanaway Campbellfield provides collection and disposal services for waste oil and water, bilge oil from ships, industrial wash water, inert sludge and packaged waste disposal. We specialise in petroleum-based hydrocarbon waste recovery, catering for all types of total petroleum hydrocarbons.",11-Dec-2021 15:37:42
Cleanaway Brooklyn Resource Recovery Centre,"174 Old Geelong Road, Brooklyn, VIC, 3012",-37.818586,144.8288155,Solid waste services,UPDATE: Now open to the public. Opening times are subject to change in line with COVID restrictions.,11-Dec-2021 15:37:50
Cleanaway Campbellfield ERS,"84-86 Lara Way, Campbellfield, VIC, 3061",-35.1190308,138.4908513,"Office, Public Waste Drop-off",Cleanaway provides fully mobile waste vegetation shredding and mulching services to handle large volumes of green waste grinding.,11-Dec-2021 15:37:43
Cleanaway Clarinda Carroll Road Landfill,"Carroll Road, Clarinda, VIC, 3169",-37.7181090,144.8877710,Miscellaneous,Our Clarinda location at 46 Victory Road provides the best standard of services. Local businesses throughout the region rely on our high standards of professionalism and the exceptional quality of our work. We provide superior solid waste management services throughout Clarinda and the surrounding area.,11-Dec-2021 15:37:50
Cleanaway Chadwick Solid Waste Services,"41 Simpson Street, Chadwick, WA, 6450",-33.839346,121.896225,"Solid waste services, Office","Cleanaway Chadwick offers solid waste and recycling services to municipal, mining, agricultural, commercial, industrial and residential customers in Ravensthorpe, Jarramungup, Norseman and Esperance. Our Esperance service area is supported by Cleanaway in Albany and Kalgoorlie.",11-Dec-2021 15:37:50
Cleanaway Bohle Liquid Waste Services,"96-102 Enterprise Street, Bohle, QLD, 4818",-19.2540452,146.7130972,"Liquid waste services, Industrial waste services","Cleanaway Bohle offers collection and treatment of liquid waste including grease trap waste, used oil, oily water, hazardous liquids and solid waste. We also offer high pressure water cleaning services.",11-Dec-2021 15:37:50
Cleanaway Beresfield CDS Depot and Solid Waste Services,"2 Balbu Close, Beresfield, NSW, 2322",-32.808760,151.631418,Solid waste services,"Cleanaway Beresfield offers a full range of waste management services to residents, and the commercial and industrial sectors in Newcastle, Hunter Valley, Lake Macquarie and Port Stephens. We provide solid and liquid waste solutions, including general waste and grease traps.",11-Dec-2021 15:37:50
Cleanaway Bohle Solid Waste Services,"77-97 Enterprise Street, Bohle, QLD, 4818",-19.255203,146.713117,Solid waste services,"Cleanaway Bohle offers solid waste services, ranging from general waste collection, recycling and disposal, medical waste collections, and construction and demolition collections for the commercial and industrial sectors.",11-Dec-2021 15:37:50
Cleanaway Bunbury Municipal,"Lot 171 Boyanup, Picton Rd,Picton, WA, 6229",-33.353234,115.699545,Miscellaneous,"Cleanaway Bunbury offers solid waste management solutions to councils, businesses and residents. We also offer skip bins for hire for any projects you may have. Prices are based on services and locations as all our solutions are tailored to each individual request. Call us to set an appointment, or to find out more about our products and services.",11-Dec-2021 15:37:51
