service_name,address,latitude,longitude,service_types,service_description,last_updated_at_UTC
Cleanaway Queanbeyan Liquid Waste Services,"42B Aurora Ave, Queanbeyan, NSW, 2620",-35.3384160,149.2480230,Liquid waste services,"Cleanaway Queanbeyan delivers liquid and industrial waste services including packaged waste, parts washer, solvent sinks, spray gun cleaning, and spill kits. Our site is also a depot for waste oil collection. Our customers include the government, businesses, airlines, and mines.",11-Dec-2021 15:38:30
Cleanaway Ravenhall Melbourne Regional Landfill,"1100-1152 Christies Road, Ravenhall, 3023",-37.7915809,144.7302601,Miscellaneous,"Cleanaway Ravenhall is a landfill for residents and commercial customers from the broader Melbourne metro area. We accept general waste, inert waste, construction and demolition waste, quarantine waste, secure waste and deep burials.",11-Dec-2021 15:38:30
Cleanaway Portsmith Cairns Solid Waste Services,"66 Fearnley Street, Portsmith Cairns, QLD, 4870",-16.9354758,145.7711619,Solid waste services,"Cleanaway Portsmith Cairns offers solid waste services to commercial and industrial customers in the Greater Cairns Queensland area. We also provide front lift, hook lift, reloaded, side arm, skip and flat deck bins. Our modern fleet is operated by highly skilled employees trained in all aspects of waste collection, and operational hazard and safety.",11-Dec-2021 15:38:29
Cleanaway Oxley Solid Waste Services,"2145 Ipswich Road, Oxley, QLD, 4075",-27.5639539,152.982447,Solid waste services,"Cleanaway Oxley offers solid waste services to the commercial and industrial sectors across South East Queensland. We provide skip bin and hook bin rentals, portable toilets rentals, and temporary fencing services.",11-Dec-2021 15:38:37
Cleanaway Parkeston Liquid Waste Services,"Lot 33 Yarri Road, Parkeston, WA, 6434",-30.709541,121.5083828,"Liquid waste services, Office","Cleanaway Parkeston provides liquid waste disposal and recycling service for businesses of all sizes and types. We can manage all kinds of chemical and liquid hazardous waste, from sewerage to chemical waste disposal to e-waste, quarantine and medical waste.",11-Dec-2021 15:38:38
Cleanaway Orange Liquid Waste Services,"28 Leewood Drive, Orange, NSW, 2800",-33.3125892,149.1109729,Liquid waste services,"Cleanaway Orange depot offers workshop waste solutions to automotive, manufacturing and industrial businesses in the Orange region. Services we provide include:",11-Dec-2021 15:38:37
Cleanaway Northgate Solid Waste Services,"172 Crockford Street, Northgate, QLD, 4013",-27.3895047,153.0789993,Solid waste services,"Cleanaway Northgate provides solid waste services for all commercial and industrial sectors in the Northgate region. Call us to set an appointment, or to find out more about our products and services.",11-Dec-2021 15:38:37
Cleanaway Parkes NSW,"28 May Street, Parkes, NSW, 2600",-33.1426566,148.181035,Miscellaneous,,11-Dec-2021 15:38:38
Cleanaway Orange Depot for Health Services,"Unit 1, 191 Byng Street, Orange, NSW, 2800",-33.2825124,149.1070842,Miscellaneous,"Cleanaway Orange safely collects and disposes of cytotoxic waste, anatomical waste and pharmaceutical waste. We also provide sanitary and clinical services to the healthcare industry.",11-Dec-2021 15:38:37
Cleanaway Rokeby Technical and Environmental Services,"8/73 Droughty Point Road, Rokeby, TAS, 7018",-42.9065281,147.441767,Miscellaneous,Cleanaway Rokeby is located along Droughty Point road. We’re a transfer station that focuses on technical and environmental services for liquid waste. The types of liquid waste we collect include:,11-Dec-2021 15:38:37
Cleanaway Roma Industrial Waste Services,"27 - 31 Linton Street, Roma, QLD, 4455",-26.5830623,148.7775729,Industrial waste services,"Formerly Toxfree, Cleanaway Roma offers industrial waste services including high pressure water blasting, non destructive digging, drain cleaning, total waste management and 24-hour drill rig support. We also offer general waste management services. We have been operating in Roma now for 7 years and have the largest fleet of industrial services and waste management vehicles in the Surat Basin.",11-Dec-2021 15:38:37
Cleanaway North Geelong Solid Waste Services,"111-117 Mornington Street, North Geelong, VIC, 3215",-38.1129277,144.3483272,Solid waste services,"Cleanaway North Geelong provides general waste and recycling bins in sizes from 240lt carts through to 31m bins. We have rear lift, front lift and hook lift trucks available to deliver and empty as required.",11-Dec-2021 15:38:37
Cleanaway Paget Mackay Liquids Waste Services,"Lot 3 Crichtons Rd, Paget, QLD, 4740",-21.1935748,149.1635346,Liquid waste services,"Cleanaway Paget Mackay offers liquid and solid waste services, including general waste, cardboard recycling, high power jetting, Kingvac, and drain cleaning for commercial and industrial sectors. Our site services Mackay, Sarina, Whitsundays and Bowen Basin, including Nebo, Glenden, Coppabella, Moranbah, Dysart, and Middlemount.",11-Dec-2021 15:38:38
Cleanaway Padstow Liquid Waste Services,"12 Stuart Street, Padstow, NSW, 2211",-33.9445877,151.0354634,Liquid waste services,"Cleanaway Padstow provides grease trap servicing for commercial kitchens in the Sydney Metro area, and disposal of grease trap waste to Sydney Water certified grease trap waste transporters.",11-Dec-2021 15:38:38
Cleanaway Nowra Solid Waste Services,"7 Tom Thumb Avenue, Nowra, NSW, 2541",-34.9134259,150.5779818,"Solid waste services, Office",Cleanaway Nowra offers solid waste services to residents and businesses in Shoalhaven. We have a range of front lift and rear lift bins available.,11-Dec-2021 15:38:37
Cleanaway Port Adelaide Solid Waste Services,"35 Francis Street, Port Adelaide, SA, 5014",-34.8375831,138.5201208,Solid waste services,"The Port Adelaide Cleanaway office is located at the corner of Easter Parade and Francis street, under the Port River expressway bridge. We offer a full range of waste services for businesses of all sizes, government and local councils. Our site is also a depot that features full workshop facilities for our entire fleet. Our depot is serviced by a fleet of municipal trucks, front lifts, rear lift trucks, and hook lifts for all your needs.",11-Dec-2021 15:38:46
Cleanaway Tullamarine Solid Waste Depot,"206-300 Western Avenue, Tullamarine, VIC, 3043",-37.6751505,144.8594141,"Solid waste services, Office","The Tullamarine depot opened in 1978 as a prescribed landfill. It has since been closed to tipping, and is currently being rehabilitated. The Cleanaway office here runs the sales, administrative, and general operations.",11-Dec-2021 15:38:46
Cleanaway Port Hedland Liquid & Technical Services,"20 Schillaman Street, Wedgefield, WA, 6721",-20.3695302,118.5992692,Liquid waste services,"Cleanaway Port Hedland offers both solid and liquid waste services for residents, businesses, and municipal councils. Our site is a hazardous and non-hazardous disposal facility for paints, mixed chemicals, waste oil and commingled recycling from households.",11-Dec-2021 15:38:46
Cleanaway Parkhurst Solid Waste Services,"78 Waurn Street, Parkhurst, QLD, 4701",-23.3404989,150.5239256,Solid waste services,"Cleanaway Parkhurst offers solid waste services across Central Queensland for residents, businesses, building and construction companies and municipal councils. We provide general waste management, including commingled waste collections, cardboard recycling, secure document destruction, construction and demolition waste, and steel scraps.",11-Dec-2021 15:38:45
Cleanaway Port Hedland Solid Waste Services,"1 Peawah St, Wedgefield, WA, 6721",-20.372295,118.5904713,"Solid waste services, Office","Cleanaway Wedgefield offers general waste disposal, recycling and industrial services to residents, government, and the commercial and industrial sectors in Port Hedland, South Hedland and the surrounding mine sites. Our industrial services include septic waste disposal, waste oil collection, high pressure water blasting and vacuum truck work.",11-Dec-2021 15:38:46
Cleanaway Pinjarra,"Alocoa Access Road, South West Highway, Pinjarra, WA, 6208",-32.6599049,115.8285153,Office,,11-Dec-2021 15:38:45
Cleanaway Townsville NQRR,"96-102 Enterprise Street, Bohle, QLD, 4818",-19.2540518,146.7130952,Miscellaneous,,11-Dec-2021 15:38:46
Cleanaway Perth MRF,"72 Hyne Road, South Guildford, WA, 6055",-31.9150861,115.9644323,Miscellaneous,The Cleanaway Perth Material Recovery Facility (MRF) has been reopened with the capacity to process over half of Western Australia’s commingled recycling. The $26 million facility has the capability to recover up to 90% of reusable product and deliver up to 99.5% purity across all fibre and plastic outputs.,11-Dec-2021 15:38:45
Cleanaway Thurla Solid Waste Services,"428 Magnum Avenue (Koorlong), Thurla, VIC, 3496",-34.321758,142.092255,"Transfer Station, Office, Public Waste Drop-off, Commercial Waste Drop-off",,11-Dec-2021 15:38:46
Cleanaway Toowoomba Liquid & Technical Waste Services,"27-35 Wilkinson St, Toowoomba, QLD, 4350",-27.5362944,151.947924,Liquid waste services,"Cleanaway Toowoomba offers liquid and industrial waste solutions to the commercial sector, households, and mining operations in Toowoomba and its surrounding regions, including Lockyer Valley, Southern Downs, Western Downs, Maranoa Regional, Goondiwindi and South Burnett.",11-Dec-2021 15:38:46
Cleanaway Peakhurst Solid Waste Services,"8-10 Depot Road, Peakhurst, NSW, 2210",-33.9677682,151.0606842,Solid waste services,"Cleanaway Peakhurst is a recycling centre for the Canterbury Bankstown council and the Inner West council. Our recycling services include general waste, organic waste and household waste.",11-Dec-2021 15:38:45
Cleanaway Port Augusta Solid Waste Services,"Lot 10 Footner Road, Port Augusta, SA, 5710",-32.5055723,137.8093745,Solid waste services,"Cleanaway Port Augusta is a waste transfer station for the general public and commercial customers from Port Augusta, Port Pire, and various contact points in between. Our site accepts non-friable asbestos, most non-hazardous solid waste types, and construction and demolition materials. We resell various crushed concrete sizes.",11-Dec-2021 15:38:46
Cleanaway Warooka SA,"Tuckokcowie Road, Warooka, SA, 5577",-35.0355466,137.4215252,Miscellaneous,,11-Dec-2021 15:38:56
Cleanaway Narangba Vacuum Truck Liquid Waste Services,"109 Potassium Street, Narangba, QLD, 4504",-27.1973006,152.9956915,Miscellaneous,"Cleanaway Narangba provides vacuum truck liquid waste services to customers in the Brisbane North to Gympie regions. We service all businesses that generate liquid waste. Our liquid waste collection and treatment services include grease traps, septic sewage, leachate, storm water, and oily water. Our site can treat septic and sullage received from third parties on site.",11-Dec-2021 15:38:56
Cleanaway Narangba Hazardous Liquid Waste Services,"8-12 Krypton Street, Narangba, QLD, 4504",-27.1990762,153.0029159,Liquid waste services,"Cleanaway Narangba is a hazardous waste treatment plant that offers hazardous liquid waste processing to waste companies, utilities, the defence sector, councils, EPA, the industrial sectors and universities in the regions of Brisbane and Queensland. We specialise in:",11-Dec-2021 15:38:56
Cleanaway Narangba Solid Waste Services,"56 - 60 Saltwater Circuit, Narangba, QLD, 4504",-27.2069902,152.9883437,Solid waste services,Cleanaway Narangba offers general and commingled waste collection and recycling services for the Moreton Bay regional council.,11-Dec-2021 15:38:56
Cleanaway Narangba Waste Transfer Station,"200 Potassium Street, Narangba, QLD, 4504",-27.1989517,152.9898973,Solid waste services,"Cleanaway Narangba is a transfer station for the commercial and industrial sectors in the Sunshine Coast, Moreton Bay and Brisbane regions. We also offer commercial, industrial and construction and demolition waste recycling services.",11-Dec-2021 15:38:56
Cleanaway Unanderra Medical Waste Services,"14 Industrial Road, Unanderra, NSW, 2526",-34.4641887,150.8561126,Miscellaneous,"Cleanaway offers clinical and related waste management services to healthcare professionals in the NSW region. Our services include the treatment of clinical waste, sharps, human tissue waste, laboratory waste, pharmaceutical waste, items contaminated with blood or body fluids, or any related waste that has the potential to cause sharps injury, infection or offence.",11-Dec-2021 15:38:55
Cleanaway Wagga Wagga Depot,"9 Schiller Street, Wagga Wagga NSW 2650 Australia",-35.1276518,147.4131505,Solid waste services,"Cleanaway Wagga Wagga Depot is a hub for the smaller branches located in Griffith and Young, serving five local councils and commercial and industrial customers. We provide solid waste services, including cardboard and commingled recycling. We also have liquid storage tanks on site to treat liquid waste such as grease traps, septic tanks and oily water.",11-Dec-2021 15:38:56
Cleanaway New Chum Solid Waste Landfill,"100 Chum Street, New Chum, QLD, 4303",-27.6079395,152.8321342,Solid waste services,"Cleanaway New Chum is a landfill servicing the demolition, construction and industrial markets within South East Queensland and Northern NSW. The site is licenced to accept inert waste streams, including construction waste, industrial waste and various contaminated soils.",11-Dec-2021 15:38:56
Cleanaway Unanderra Solid Waste Depot,"5 Charcoal Close, Unanderra, NSW, 2526",-34.4588603,150.8507969,Solid waste services,"Cleanaway Unanderra offers solid waste services and recycling solutions to households, commercial and construction businesses in the Illawarra and Southern Highlands regions.",11-Dec-2021 15:38:56
Cleanaway Unanderra Waynote Place Industrial Services,"10-12 Waynote Place, Unanderra, NSW, 2526",-34.4608042,150.8641246,"Liquid waste services, Industrial waste services, Office","Cleanaway Unanderra offers liquid waste and industrial services in the regions south of the Sydney basin border and Blue Mountains – west to Wagga Wagga, Parkes and Dubbo.",11-Dec-2021 15:38:56
Cleanaway Narangba Waste Oil Recycling Facility,"26-32 Potassium Street, Narangba, QLD, 4504",-27.1996494,153.0045673,Liquid waste services,"Cleanaway Narangba is a waste oil recycling facility for South East Queensland. We process and dispose of bulk and packaged waste. We also take in hazardous waste such as oily water, contaminated sludges and soils from the manufacturing, industrial and environment sectors.",11-Dec-2021 15:38:56
Cleanaway Newman Solid Waste Depot,"1568 Woodstock street, Newman, WA, 6753",-23.3725052,119.7291944,"Solid waste services, Industrial waste services","Cleanaway Newman offers solid waste and industrial services to residents, the local government, and businesses in the Newman area. We collect and recycle municipal and commercial waste, hydrocarbons, waste oils and septic waste, and provide high pressure water blasting and vacuum truck associated services.",11-Dec-2021 15:38:56
Cleanaway Warrnambool Bin Hire & Waste Drop Off,"355 Koroit Street, Warrnambool VIC 3280",-38.375696,142.464161,Miscellaneous,"Cleanaway Warrnambool is offering waste disposal services and permanent and casual bin hire for resident, farm, council and commercial customers. With depots based in Warrnambool, Hamilton & Stawell we cover most of Western Victoria. We are also an approved Sustainability Victoria Permanent Drop-off Site for free disposal of batteries and fluorescent lights. We also offer free paint drop-off for households and businesses under the Paintback scheme, and our partnership with the local Fulton Hogan branch allows us to offer exclusive glass-only bins.",11-Dec-2021 15:39:04
Cleanaway Wodonga Industrial Waste Services,"2/9 Romet Road, Wodonga, VIC, 3690",-36.1119479,146.8559727,Industrial waste services,"Cleanaway Wodonga offers industrial waste management solutions to local councils, water authorities, and the manufacturing and mining sectors in Regional Victoria and Southern NSW.",11-Dec-2021 15:39:05
Cleanaway Nhulunbuy Industrial Waste Services,"1 Melville Bay Road, C/O Rio Tinto Gove Nhulunbuy, NT, 0880",-12.1912252,136.7500421,Industrial waste services,Cleanaway Nhulunbuy provides industrial waste services are available to the commercial and industrial sectors. Our branch provides industrial waste services on Nhulunbuy on-site projects only within the region.,11-Dec-2021 15:39:04
Cleanaway Wingfield Resource Recovery Centre,"412 Hanson Rd, Dry Creek, SA, 5094",-34.8301804,138.5458721,Transfer Station,"Cleanaway Wingfield is a resource recovery centre that accepts solid waste from contractors and the public, including general waste, green waste, recyclable waste including steel and cardboard, small construction and demolition waste and putrescible waste. We provide quick and easy unloading facilities, as public and contractor vehicles have separate unloading areas.",11-Dec-2021 15:39:05
Cleanaway Wetherill Park,"6 Davis Road/2 Wenban Place, Wetherill Park, NSW, 2164",-33.8377000,150.9045200,Miscellaneous,,11-Dec-2021 15:39:04
Cleanaway Newstead Solid Waste Services,"37 Birch Avenue, Newstead, TAS, 7250",-41.4350061,147.1619269,Miscellaneous,"Cleanaway Newstead offers front lift services for 1.5m, 3m and 4.5m bins, rear lift services for 240L, 660L and 1,100L bins, general waste disposal as well as cardboard and commingled waste collection and recycling. We serve commercial and residential customers in Launceston and its surrounding suburbs, Devonport, Ulverstone and Burnie on the North West Coast of Tasmania, as well as Hobart and its surrounding suburbs in Tasmania.",11-Dec-2021 15:39:04
Cleanaway Welland Solid Waste Services,"158 Frederick Street, Welland, SA, 5007",-34.9105892,138.5557,Solid waste services,,11-Dec-2021 15:39:04
Cleanaway Wingfield Liquid Waste Services,"20 George Street, Wingfield, SA, 5013",-34.8347645,138.5622026,"Liquid waste services, Office","Cleanaway Wingfield provides liquid waste services to the government, commercial and industrial sectors in the Adelaide metro and South Australia region. We have a fleet of specialised vehicles designed to transport bulk liquid waste for treatment and disposal including septic waste, grease trap waste, oily water, and bulk dangerous and hazardous waste.",11-Dec-2021 15:39:05
Cleanaway Whyalla One Steel Industrial Waste Services,"Liberty OneSteel Whyalla, Port Augusta Road, Whyalla, SA, 5600",-33.0118001,137.5869232,Industrial waste services,"Cleanaway Whyalla One Steel offers industrial waste solutions exclusively for Liberty OneSteel, located in Eyre Peninsula, SA. We provide on-site industrial services, including high pressure water blasting and vacuum loading.",11-Dec-2021 15:39:05
Cleanaway Wyong Solid Waste Services,"1 Amsterdam Circuit, Wyong, NSW, 2259",-33.2645403,151.4492704,"Solid waste services, Office","Cleanaway Wyong offers solid waste services which includes general waste, cardboard and paper recycling, organic collections and dry construction waste to businesses south to Patonga and north to Rathmines.",11-Dec-2021 15:39:05
Cleanaway Whyalla Playford Liquid Waste Services,"132B Norrie Avenue, Whyalla, SA, 5600",-33.0380095,137.5503175,Liquid waste services,Cleanaway Whyalla Playford provides liquid and industrial waste solutions to the commercial and industrial sectors in the Whyalla regions. Services include high powered water jetting and large vacuum loading.,11-Dec-2021 15:39:05
Cleanaway Willawong Solid Waste Services,"343 Bowhill Road, Willawong, QLD, 4068",-27.5828507,152.9946997,Solid waste services,"Cleanaway Willawong offers solid waste services to South East Queensland, covering Brisbane, Gold Coast, Sunshine Coast, and Ipswich. Our branch provides municipal collection for the Noosa Shire council, and cardboard and plastic collection for commercial and industrial sectors in the Sunshine Coast and greater regions.",11-Dec-2021 15:39:05
Mandurah Tip: Transfer Station,"100 Gordon Road, Parklands, WA, 6180",-32.5109722,115.7546070,Transfer Station,Mandurah Transfer Station,11-Dec-2021 15:39:16
Cleanaway Somersby Solid Waste Services,"75 Pile Road, Somersby, NSW, 2250",-33.4081738,151.2821337,Solid waste services,Cleanaway Somersby is a dedicated municipal collections depot collecting municipal waste on behalf of the Central Coast Local Government Association. We proudly service both residential and river communities.,11-Dec-2021 15:39:17
Cleanaway Moolap Solid Waste Services,"317 Portarlington Road, Moolap, VIC, 3224",-37.8499105,144.7790148,Solid waste services,"Cleanaway Moolap is a municipal kerbside collection depot for the city of Greater Geelong, Surf Coast Shire and Golden Plains Shire. Call us to find out more about our products and services.",11-Dec-2021 15:39:17
Cleanaway Young Solid Waste Services,"20 Chillingworks Rd, Young, NSW, 2594",-34.3013566,148.2691304,Solid waste services,"Cleanaway Young offers solid waste services to residents, and the agricultural, commercial and industrial sectors in Young, Harden, Cootamundra, Grenfell, Boorowa, Jugiong and the villages in between.",11-Dec-2021 15:39:16
Cleanaway Shepparton Solid Waste Services,"73 Old Dookie Road, Shepparton, VIC, 3630",-36.3763320,145.4243570,Office,,11-Dec-2021 15:39:16
Cleanaway Yatala Liquid Waste Services,"29 Binary St, Yatala, QLD, 4207",-27.7573611,153.233463,Liquid waste services,"Cleanaway Yatala offers liquid waste services to the retail, industrial, agricultural, and manufacturing sectors across South East Queensland. We are the largest treatment facility for grease trap waste and oily waters in the state. Our services include liquid waste disposal, food waste, landfill leachate and sullage/septic waste.",11-Dec-2021 15:39:16
Morwell Industrial Waste Services,6-8 Wegner Street Morwell Victoria 3840,-38.2299026,146.394637,Industrial waste services,"Cleanaway Morwell Industrial Waste Services provides comprehensive and licensed industrial waste services in Pakenham and beyond, including a 24 hour spill service. Our solutions include:",11-Dec-2021 15:39:16
Cleanaway Rutherford Refinery,"11 Kyle St, Rutherford, NSW, 2320",-32.7102974,151.4985493,Office,,11-Dec-2021 15:39:16
Cleanaway South Geelong Resource Recovery Transfer Station,"22 Wood St, South Geelong VIC 3220",-38.1691252,144.3684277,Solid waste services,"Cleanaway South Geelong Transfer Station is part of the Victoria Commingled Resource Recovery (VCRR) network of assets acquired from SKM Recycling in October 2019. Recently upgraded and reopened, the facility accepts municipal as well as commercial recycling, facilitating the diversion of from landfill. As the main transfer station in Greater Geelong, the site collects and separates high volumes of recycling for further processing.",11-Dec-2021 15:39:17
Cleanaway Seymour,"61 Emily Street, Seymour, VIC, 3660",-37.0184450,145.1327770,Office,,11-Dec-2021 15:39:16
Cleanaway Smythesdale,"Glenelg Highway, Smythesdale, VIC, 3351",-37.652060,143.670400,Miscellaneous,,11-Dec-2021 15:39:16
Cleanaway Rutherford Liquid Waste Services,"99 Kyle Street, Rutherford, NSW, 2320",-32.712622,151.5011104,Liquid waste services,"The Cleanaway Rutherford facility offers waste management equipment and oil collection services. We cater to automotive workshops, engineering workshops, and mine sites in the central coast, and regions extending from the north coast to Hunter Valley.",11-Dec-2021 15:39:16
Cleanaway South Boulder Liquid Waste Services,"31 Vivian Street, South Boulder WA 6432",-30.789938482425402,121.49646892486713,Liquid waste services,Cleanaway South Boulder Liquid Waste Services is a fully-accredited EPA facility offering workshop waste management services in the Goldfields and Kalgoorlie region. Our solutions include:,11-Dec-2021 15:39:17
Cleanaway South Kempsey Solid Waste Services,"42 South Street, South Kempsey, NSW, 2440",-31.0997877,152.8209753,"Solid waste services, Office","Cleanaway South Kempsey offers solid waste services to the commercial, industrial sectors, food processing plants and local council in the Port Macquarie, Kempsey, South West Rocks, Crescent Head, Kew, Laurieton regions as well as the Port Macquarie-Hastings Shire. Our services include:",11-Dec-2021 15:39:17
Cleanaway Mount Gambier Solid Waste Services,"7 Eucalypt Drive, Mount Gambier, SA, 5290",-37.8442094,140.8028463,Solid waste services,"Operating since 1990, Cleanaway Mount Gambier services the largest customer base in the south east region. We service private businesses and heavy industrial sectors, with a wide range of solid and liquid waste services. This includes collection, removal and recycling services for general waste, green waste, liquid waste, grease trap, oily water and chemical waste.",11-Dec-2021 15:39:22
Cleanaway Mt. Isa Liquid Waste Services,"13 Northridge Rd, Kalkadoon, QLD, 4825",-20.688111,139.4882617,Liquid waste services,Cleanaway Mt. Isa offers liquids and hazardous waste services supported by fully trained and experienced personnel and a fully maintained and accredited fleet.,11-Dec-2021 15:39:22
Cleanaway Moree Solid Waste Depot,"Lot 1, Newell Highway, Moree, NSW, 2400",-29.5401392,149.8502259,Solid waste services,"Cleanaway Moree offers solid waste services for Moree Plains, Narrabri, Gwydir Shire and its surrounding regions. We are the preferred waste management contractor for local councils, providing solutions for all commercial, industrial, and residential waste management requirements.",11-Dec-2021 15:39:22
Cleanaway Morwell Solid Waste Services,"132-160 Princes Drive (Corser Rd), Morwell, VIC, 3840",-38.2332247,146.4409345,Solid waste services,"Cleanaway Morwell offers solid waste services to the region delivering environmentally sustainable services including resource recovery, recycling, general waste management, bulk waste management and recycling services for residents, councils and businesses.",11-Dec-2021 15:39:22
Cleanaway Mornington Depot,"12A Carbine Way, Mornington, VIC, 3931",-38.2304021,145.0676328,"Solid waste services, Office","Cleanaway Mornington offers comprehensive solid waste services including general waste, green waste, commingled recycling, cardboard and paper recycling. We serve businesses, large scale building site, and municipal councils in the Mornington Peninsula and Frankston Local Government areas. We also offer front and rear lift bin rental services.",11-Dec-2021 15:39:22
Cleanaway Moranbah Liquid Waste Services,"13 - 19 Thorpe Street, Moranbah, QLD, 4744",-21.986131,148.0128057,Liquid waste services,"Cleanaway Moranbah offers liquid management solutions including grease traps, septic, oily water, coolants, and used lubricating oils. We service workshops, healthcare facilities, mine camps, solar power projects and the mining industry in the Bowen Basin and neighbouring mining towns including Moranbah, Dysart, Middlemount, Tieri, Capella, Clermont, Coppabella, Nebo and Glenden. Our industrial services include high powered water jetting, drain cleaning and Kingvac trucks.",11-Dec-2021 15:39:22
Cleanaway Morningside Solid Waste Services,"42 Manton Street , Morningside, QLD, 4170",-27.4531046,153.0770105,Solid waste services,"Cleanaway Morningside is a container deposit scheme (CDS) return facility and refund point for Brisbane Metro, Gold Coast and Sunshine Coast. We also provide logistics and processing services from our site.",11-Dec-2021 15:39:22
Cleanaway Mulgrave Industrial Waste Services,"10-16 Geddes Street, Mulgrave, VIC, 3170",-37.9064499,145.0676328,Industrial waste services,"Cleanaway Mulgrave offers a full range of industrial services, including sewer cleaning, vacuum loading, heavy and light vacuum, non-destructive digging, CCTV, drain cleaning, telecommunication rodding and roping.",11-Dec-2021 15:39:22
